case_id,base_id,family,defective,tools_available,kind,exact_correct,outcome,failure_code,input_tokens,output_tokens,accounted_cost_usd
td-main-formal_rules-0018-d0-t0,td-main-formal_rules-0018,formal_rules,False,False,final_answer,True,pass,,488,515,0.00229725
td-main-reconciliation-0004-d1-t0,td-main-reconciliation-0004,reconciliation,True,False,final_answer,True,pass,,486,16,0.0004245
td-main-reconciliation-0045-d0-t1,td-main-reconciliation-0045,reconciliation,False,True,final_answer,True,pass,,1372,144,0.0015690
td-main-record_preparation-0048-d0-t1,td-main-record_preparation-0048,record_preparation,False,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,4383,120,0.00373725
td-main-formal_rules-0055-d1-t1,td-main-formal_rules-0055,formal_rules,True,True,final_answer,True,pass,,1825,217,0.0021825
td-main-record_preparation-0026-d1-t1,td-main-record_preparation-0026,record_preparation,True,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,5317,76,0.00427275
td-main-reconciliation-0049-d0-t1,td-main-reconciliation-0049,reconciliation,False,True,final_answer,True,pass,,2676,243,0.00291825
td-main-reconciliation-0010-d1-t0,td-main-reconciliation-0010,reconciliation,True,False,final_answer,True,pass,,489,223,0.001203
td-main-reconciliation-0025-d1-t0,td-main-reconciliation-0025,reconciliation,True,False,final_answer,True,pass,,420,16,0.000375
td-main-reconciliation-0048-d1-t1,td-main-reconciliation-0048,reconciliation,True,True,final_answer,True,pass,,695,234,0.00139875
td-main-formal_rules-0024-d1-t0,td-main-formal_rules-0024,formal_rules,True,False,final_answer,True,pass,,456,409,0.00187575
td-main-reconciliation-0053-d1-t1,td-main-reconciliation-0053,reconciliation,True,True,final_answer,True,pass,,691,16,0.00057825
td-main-record_preparation-0051-d0-t0,td-main-record_preparation-0051,record_preparation,False,False,final_answer,True,pass,,1010,571,0.00289875
td-main-formal_rules-0046-d1-t1,td-main-formal_rules-0046,formal_rules,True,True,final_answer,True,pass,,1405,68,0.00130875
td-main-reconciliation-0001-d1-t1,td-main-reconciliation-0001,reconciliation,True,True,final_answer,True,pass,,693,182,0.00120225
td-main-record_preparation-0049-d1-t1,td-main-record_preparation-0049,record_preparation,True,True,final_answer,True,pass,,2352,285,0.00283275
td-main-record_preparation-0019-d0-t1,td-main-record_preparation-0019,record_preparation,False,True,final_answer,True,pass,,782,90,0.000924
td-main-reconciliation-0009-d0-t0,td-main-reconciliation-0009,reconciliation,False,False,final_answer,True,pass,,365,27,0.000375
td-main-record_preparation-0029-d1-t0,td-main-record_preparation-0029,record_preparation,True,False,final_answer,True,pass,,815,387,0.0020625
td-main-record_preparation-0014-d1-t0,td-main-record_preparation-0014,record_preparation,True,False,final_answer,True,pass,,617,369,0.0018465
td-main-record_preparation-0020-d1-t1,td-main-record_preparation-0020,record_preparation,True,True,final_answer,True,pass,,3821,220,0.00369075
td-main-reconciliation-0018-d1-t1,td-main-reconciliation-0018,reconciliation,True,True,final_answer,True,pass,,732,16,0.000609
td-main-formal_rules-0027-d0-t1,td-main-formal_rules-0027,formal_rules,False,True,final_answer,True,pass,,1723,263,0.00227850
td-main-reconciliation-0055-d0-t1,td-main-reconciliation-0055,reconciliation,False,True,final_answer,True,pass,,1474,180,0.00178050
td-main-record_preparation-0010-d0-t1,td-main-record_preparation-0010,record_preparation,False,True,final_answer,True,pass,,2422,392,0.00328650
td-main-record_preparation-0032-d0-t0,td-main-record_preparation-0032,record_preparation,False,False,final_answer,True,pass,,551,85,0.000732
td-main-reconciliation-0000-d0-t0,td-main-reconciliation-0000,reconciliation,False,False,final_answer,True,pass,,469,29,0.0004605
td-main-record_preparation-0005-d0-t1,td-main-record_preparation-0005,record_preparation,False,True,final_answer,True,pass,,1822,219,0.00218775
td-main-formal_rules-0030-d0-t1,td-main-formal_rules-0030,formal_rules,False,True,final_answer,True,pass,,1303,63,0.0012135
td-main-formal_rules-0049-d0-t0,td-main-formal_rules-0049,formal_rules,False,False,final_answer,True,pass,,425,51,0.00051
td-main-formal_rules-0031-d1-t1,td-main-formal_rules-0031,formal_rules,True,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,2115,75,0.0018675
td-main-record_preparation-0046-d0-t0,td-main-record_preparation-0046,record_preparation,False,False,final_answer,True,pass,,543,90,0.00074475
td-main-reconciliation-0055-d1-t0,td-main-reconciliation-0055,reconciliation,True,False,final_answer,True,pass,,424,274,0.0013455
td-main-reconciliation-0036-d1-t1,td-main-reconciliation-0036,reconciliation,True,True,final_answer,True,pass,,626,16,0.0005295
td-main-formal_rules-0055-d0-t0,td-main-formal_rules-0055,formal_rules,False,False,final_answer,True,pass,,521,109,0.0007995
td-main-formal_rules-0029-d0-t0,td-main-formal_rules-0029,formal_rules,False,False,final_answer,True,pass,,488,96,0.000726
td-main-reconciliation-0003-d1-t1,td-main-reconciliation-0003,reconciliation,True,True,final_answer,True,pass,,698,216,0.0013335
td-main-reconciliation-0038-d0-t1,td-main-reconciliation-0038,reconciliation,False,True,final_answer,True,pass,,2249,172,0.00233175
td-main-reconciliation-0036-d0-t1,td-main-reconciliation-0036,reconciliation,False,True,final_answer,True,pass,,1359,138,0.00153675
td-main-record_preparation-0029-d0-t0,td-main-record_preparation-0029,record_preparation,False,False,final_answer,True,pass,,815,537,0.002625
td-main-reconciliation-0041-d0-t0,td-main-reconciliation-0041,reconciliation,False,False,final_answer,True,pass,,368,33,0.00039975
td-main-record_preparation-0022-d0-t0,td-main-record_preparation-0022,record_preparation,False,False,final_answer,True,pass,,799,84,0.00091425
td-main-reconciliation-0040-d1-t1,td-main-reconciliation-0040,reconciliation,True,True,final_answer,True,pass,,691,16,0.00057825
td-main-formal_rules-0051-d1-t1,td-main-formal_rules-0051,formal_rules,True,True,final_answer,True,pass,,2775,216,0.00289125
td-main-formal_rules-0040-d0-t1,td-main-formal_rules-0040,formal_rules,False,True,final_answer,True,pass,,1405,107,0.00145500
td-main-formal_rules-0000-d0-t1,td-main-formal_rules-0000,formal_rules,False,True,final_answer,True,pass,,1726,264,0.00228450
td-main-reconciliation-0018-d1-t0,td-main-reconciliation-0018,reconciliation,True,False,final_answer,True,pass,,493,16,0.00042975
td-main-formal_rules-0054-d1-t0,td-main-formal_rules-0054,formal_rules,True,False,final_answer,True,pass,,458,19,0.00041475
td-main-record_preparation-0045-d1-t0,td-main-record_preparation-0045,record_preparation,True,False,final_answer,True,pass,,1099,161,0.001428
td-main-formal_rules-0042-d0-t0,td-main-formal_rules-0042,formal_rules,False,False,final_answer,True,pass,,486,95,0.00072075
td-main-record_preparation-0001-d1-t0,td-main-record_preparation-0001,record_preparation,True,False,final_answer,True,pass,,671,115,0.0009345
td-main-record_preparation-0003-d1-t1,td-main-record_preparation-0003,record_preparation,True,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,5217,158,0.00450525
td-main-record_preparation-0010-d1-t1,td-main-record_preparation-0010,record_preparation,True,True,final_answer,True,pass,,2422,401,0.00332025
td-main-formal_rules-0017-d1-t1,td-main-formal_rules-0017,formal_rules,True,True,final_answer,True,pass,,1669,117,0.0016905
td-main-formal_rules-0050-d0-t1,td-main-formal_rules-0050,formal_rules,False,True,final_answer,True,pass,,1618,225,0.00205725
td-main-record_preparation-0015-d1-t1,td-main-record_preparation-0015,record_preparation,True,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,5217,270,0.00492525
td-main-formal_rules-0005-d0-t1,td-main-formal_rules-0005,formal_rules,False,True,final_answer,True,pass,,1516,174,0.00178950
td-main-record_preparation-0055-d1-t0,td-main-record_preparation-0055,record_preparation,True,False,final_answer,True,pass,,1241,543,0.002967
td-main-formal_rules-0004-d1-t1,td-main-formal_rules-0004,formal_rules,True,True,final_answer,True,pass,,1344,69,0.00126675
td-main-reconciliation-0022-d1-t1,td-main-reconciliation-0022,reconciliation,True,True,final_answer,True,pass,,664,16,0.000558
td-main-record_preparation-0055-d0-t1,td-main-record_preparation-0055,record_preparation,False,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,6901,132,0.00567075
td-main-record_preparation-0028-d0-t1,td-main-record_preparation-0028,record_preparation,False,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,3613,173,0.00335850
td-main-record_preparation-0052-d1-t1,td-main-record_preparation-0052,record_preparation,True,True,final_answer,True,pass,,4409,268,0.00431175
td-main-formal_rules-0049-d1-t0,td-main-formal_rules-0049,formal_rules,True,False,final_answer,True,pass,,425,19,0.00039
td-main-record_preparation-0014-d0-t1,td-main-record_preparation-0014,record_preparation,False,True,final_answer,True,pass,,1992,268,0.002499
td-main-formal_rules-0025-d0-t1,td-main-formal_rules-0025,formal_rules,False,True,final_answer,True,pass,,1723,263,0.00227850
td-main-reconciliation-0031-d1-t0,td-main-reconciliation-0031,reconciliation,True,False,final_answer,True,pass,,387,16,0.00035025
td-main-reconciliation-0042-d1-t0,td-main-reconciliation-0042,reconciliation,True,False,final_answer,True,pass,,522,201,0.00114525
td-main-record_preparation-0040-d0-t0,td-main-record_preparation-0040,record_preparation,False,False,final_answer,True,pass,,627,127,0.0009465
td-main-reconciliation-0048-d0-t1,td-main-reconciliation-0048,reconciliation,False,True,final_answer,True,pass,,2403,190,0.00251475
td-main-record_preparation-0023-d0-t1,td-main-record_preparation-0023,record_preparation,False,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,3515,108,0.00304125
td-main-formal_rules-0028-d0-t1,td-main-formal_rules-0028,formal_rules,False,True,final_answer,True,pass,,1813,303,0.00249600
td-main-record_preparation-0022-d1-t0,td-main-record_preparation-0022,record_preparation,True,False,final_answer,True,pass,,799,115,0.0010305
td-main-reconciliation-0037-d0-t1,td-main-reconciliation-0037,reconciliation,False,True,final_answer,True,pass,,2570,238,0.00282000
td-main-record_preparation-0050-d1-t1,td-main-record_preparation-0050,record_preparation,True,True,final_answer,True,pass,,2828,388,0.003576
td-main-reconciliation-0056-d0-t0,td-main-reconciliation-0056,reconciliation,False,False,final_answer,True,pass,,463,34,0.00047475
td-main-reconciliation-0004-d0-t0,td-main-reconciliation-0004,reconciliation,False,False,final_answer,True,pass,,464,392,0.001818
td-main-reconciliation-0020-d1-t0,td-main-reconciliation-0020,reconciliation,True,False,final_answer,True,pass,,458,143,0.00087975
td-main-record_preparation-0032-d1-t0,td-main-record_preparation-0032,record_preparation,True,False,final_answer,True,pass,,551,100,0.00078825
td-main-reconciliation-0027-d0-t1,td-main-reconciliation-0027,reconciliation,False,True,final_answer,True,pass,,1370,141,0.00155625
td-main-formal_rules-0004-d0-t0,td-main-formal_rules-0004,formal_rules,False,False,final_answer,True,pass,,394,39,0.00044175
td-main-record_preparation-0011-d1-t1,td-main-record_preparation-0011,record_preparation,True,True,final_answer,True,pass,,2312,276,0.002769
td-main-formal_rules-0029-d1-t0,td-main-formal_rules-0029,formal_rules,True,False,final_answer,True,pass,,488,19,0.00043725
td-main-formal_rules-0026-d0-t1,td-main-formal_rules-0026,formal_rules,False,True,final_answer,True,pass,,1507,144,0.00167025
td-main-reconciliation-0019-d1-t0,td-main-reconciliation-0019,reconciliation,True,False,final_answer,True,pass,,522,219,0.00121275
td-main-record_preparation-0036-d1-t0,td-main-record_preparation-0036,record_preparation,True,False,final_answer,True,pass,,627,128,0.00095025
td-main-reconciliation-0054-d0-t0,td-main-reconciliation-0054,reconciliation,False,False,final_answer,True,pass,,502,397,0.00186525
td-main-record_preparation-0027-d1-t0,td-main-record_preparation-0027,record_preparation,True,False,final_answer,True,pass,,765,719,0.00327
td-main-reconciliation-0051-d0-t1,td-main-reconciliation-0051,reconciliation,False,True,final_answer,True,pass,,1372,135,0.00153525
td-main-formal_rules-0010-d1-t0,td-main-formal_rules-0010,formal_rules,True,False,final_answer,True,pass,,423,199,0.0010635
td-main-record_preparation-0024-d1-t0,td-main-record_preparation-0024,record_preparation,True,False,final_answer,True,pass,,792,128,0.001074
td-main-record_preparation-0028-d1-t1,td-main-record_preparation-0028,record_preparation,True,True,final_answer,True,pass,,866,150,0.001212
td-main-formal_rules-0052-d1-t0,td-main-formal_rules-0052,formal_rules,True,False,final_answer,True,pass,,393,279,0.001341
td-main-reconciliation-0006-d0-t1,td-main-reconciliation-0006,reconciliation,False,True,final_answer,True,pass,,1590,187,0.00189375
td-main-reconciliation-0050-d1-t0,td-main-reconciliation-0050,reconciliation,True,False,final_answer,True,pass,,522,16,0.0004515
td-main-formal_rules-0056-d1-t1,td-main-formal_rules-0056,formal_rules,True,True,final_answer,True,pass,,1618,168,0.0018435
td-main-reconciliation-0014-d1-t1,td-main-reconciliation-0014,reconciliation,True,True,final_answer,True,pass,,763,474,0.00234975
td-main-formal_rules-0053-d0-t0,td-main-formal_rules-0053,formal_rules,False,False,final_answer,True,pass,,491,90,0.00070575
td-main-reconciliation-0034-d0-t0,td-main-reconciliation-0034,reconciliation,False,False,final_answer,True,pass,,505,41,0.0005325
td-main-reconciliation-0017-d0-t0,td-main-reconciliation-0017,reconciliation,False,False,final_answer,True,pass,,367,32,0.00039525
td-main-reconciliation-0013-d1-t1,td-main-reconciliation-0013,reconciliation,True,True,final_answer,True,pass,,665,16,0.00055875
td-main-record_preparation-0017-d0-t1,td-main-record_preparation-0017,record_preparation,False,True,final_answer,True,pass,,2828,386,0.0035685
td-main-record_preparation-0048-d1-t1,td-main-record_preparation-0048,record_preparation,True,True,final_answer,True,pass,,2618,343,0.00324975
td-main-record_preparation-0017-d1-t1,td-main-record_preparation-0017,record_preparation,True,True,final_answer,True,pass,,4067,234,0.00392775
td-main-record_preparation-0018-d0-t1,td-main-record_preparation-0018,record_preparation,False,True,final_answer,True,pass,,1122,154,0.001419
td-main-reconciliation-0001-d1-t0,td-main-reconciliation-0001,reconciliation,True,False,final_answer,True,pass,,454,16,0.0004005
td-main-reconciliation-0052-d1-t0,td-main-reconciliation-0052,reconciliation,True,False,final_answer,True,pass,,523,228,0.00124725
td-main-record_preparation-0012-d0-t0,td-main-record_preparation-0012,record_preparation,False,False,final_answer,True,pass,,679,148,0.00106425
td-main-record_preparation-0015-d0-t0,td-main-record_preparation-0015,record_preparation,False,False,final_answer,True,pass,,1351,218,0.00183075
td-main-record_preparation-0050-d0-t1,td-main-record_preparation-0050,record_preparation,False,True,final_answer,True,pass,,2828,386,0.0035685
td-main-record_preparation-0053-d0-t1,td-main-record_preparation-0053,record_preparation,False,True,final_answer,True,pass,,2312,268,0.002739
td-main-formal_rules-0013-d1-t1,td-main-formal_rules-0013,formal_rules,True,True,final_answer,True,pass,,2619,194,0.00269175
td-main-formal_rules-0048-d1-t0,td-main-formal_rules-0048,formal_rules,True,False,final_answer,True,pass,,487,19,0.0004365
td-main-formal_rules-0033-d1-t1,td-main-formal_rules-0033,formal_rules,True,True,final_answer,True,pass,,2015,68,0.00176625
td-main-formal_rules-0034-d1-t0,td-main-formal_rules-0034,formal_rules,True,False,final_answer,True,pass,,519,284,0.00145425
td-main-record_preparation-0006-d0-t0,td-main-record_preparation-0006,record_preparation,False,False,final_answer,True,pass,,855,202,0.00139875
td-main-record_preparation-0042-d1-t0,td-main-record_preparation-0042,record_preparation,True,False,final_answer,True,pass,,762,116,0.0010065
td-main-reconciliation-0030-d1-t0,td-main-reconciliation-0030,reconciliation,True,False,final_answer,True,pass,,453,16,0.00039975
td-main-reconciliation-0008-d1-t0,td-main-reconciliation-0008,reconciliation,True,False,final_answer,True,pass,,492,16,0.000429
td-main-record_preparation-0050-d0-t0,td-main-record_preparation-0050,record_preparation,False,False,final_answer,True,pass,,989,458,0.00245925
td-main-formal_rules-0015-d1-t0,td-main-formal_rules-0015,formal_rules,True,False,final_answer,True,pass,,488,19,0.00043725
td-main-record_preparation-0034-d0-t1,td-main-record_preparation-0034,record_preparation,False,True,final_answer,True,pass,,2823,228,0.00297225
td-main-record_preparation-0040-d1-t0,td-main-record_preparation-0040,record_preparation,True,False,final_answer,True,pass,,627,128,0.00095025
td-main-reconciliation-0028-d0-t1,td-main-reconciliation-0028,reconciliation,False,True,agent_failure,False,fail,TOOL_CALL_BUDGET_EXHAUSTED,2860,236,0.00303000
td-main-reconciliation-0056-d0-t1,td-main-reconciliation-0056,reconciliation,False,True,final_answer,True,pass,,1664,211,0.00203925
td-main-record_preparation-0007-d1-t1,td-main-record_preparation-0007,record_preparation,True,True,final_answer,True,pass,,1992,276,0.002529
td-main-reconciliation-0027-d1-t1,td-main-reconciliation-0027,reconciliation,True,True,final_answer,True,pass,,630,16,0.0005325
td-main-formal_rules-0021-d0-t0,td-main-formal_rules-0021,formal_rules,False,False,final_answer,True,pass,,393,395,0.001776
td-main-reconciliation-0011-d1-t0,td-main-reconciliation-0011,reconciliation,True,False,final_answer,True,pass,,489,215,0.001173
td-main-formal_rules-0050-d0-t0,td-main-formal_rules-0050,formal_rules,False,False,final_answer,True,pass,,456,77,0.00063075
td-main-formal_rules-0039-d0-t1,td-main-formal_rules-0039,formal_rules,False,True,final_answer,True,pass,,1726,271,0.00231075
td-main-reconciliation-0009-d1-t0,td-main-reconciliation-0009,reconciliation,True,False,final_answer,True,pass,,386,201,0.00104325
td-main-reconciliation-0046-d0-t0,td-main-reconciliation-0046,reconciliation,False,False,final_answer,True,pass,,367,312,0.00144525
td-main-record_preparation-0013-d0-t1,td-main-record_preparation-0013,record_preparation,False,True,final_answer,True,pass,,2352,277,0.00280275
td-main-reconciliation-0020-d1-t1,td-main-reconciliation-0020,reconciliation,True,True,final_answer,True,pass,,697,161,0.0011265
td-main-formal_rules-0026-d0-t0,td-main-formal_rules-0026,formal_rules,False,False,final_answer,True,pass,,457,77,0.0006315
td-main-reconciliation-0039-d1-t0,td-main-reconciliation-0039,reconciliation,True,False,final_answer,True,pass,,388,145,0.00083475
td-main-reconciliation-0041-d1-t0,td-main-reconciliation-0041,reconciliation,True,False,final_answer,True,pass,,390,196,0.0010275
td-main-formal_rules-0032-d1-t1,td-main-formal_rules-0032,formal_rules,True,True,final_answer,True,pass,,1726,193,0.00201825
td-main-reconciliation-0044-d0-t0,td-main-reconciliation-0044,reconciliation,False,False,final_answer,True,pass,,509,28,0.00048675
td-main-record_preparation-0022-d1-t1,td-main-record_preparation-0022,record_preparation,True,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,3338,158,0.00309600
td-main-reconciliation-0025-d1-t1,td-main-reconciliation-0025,reconciliation,True,True,final_answer,True,pass,,659,16,0.00055425
td-main-record_preparation-0020-d0-t0,td-main-record_preparation-0020,record_preparation,False,False,final_answer,True,pass,,765,180,0.00124875
td-main-record_preparation-0038-d1-t0,td-main-record_preparation-0038,record_preparation,True,False,final_answer,True,pass,,683,100,0.00088725
td-main-reconciliation-0035-d0-t1,td-main-reconciliation-0035,reconciliation,False,True,final_answer,True,pass,,2676,264,0.002997
td-main-formal_rules-0052-d0-t1,td-main-formal_rules-0052,formal_rules,False,True,final_answer,True,pass,,1303,56,0.00118725
td-main-formal_rules-0034-d0-t1,td-main-formal_rules-0034,formal_rules,False,True,final_answer,True,pass,,1819,305,0.00250800
td-main-record_preparation-0024-d0-t1,td-main-record_preparation-0024,record_preparation,False,True,final_answer,True,pass,,2352,277,0.00280275
td-main-formal_rules-0036-d0-t1,td-main-formal_rules-0036,formal_rules,False,True,final_answer,True,pass,,2616,237,0.00285075
td-main-formal_rules-0052-d0-t0,td-main-formal_rules-0052,formal_rules,False,False,final_answer,True,pass,,393,32,0.00041475
td-main-reconciliation-0005-d0-t0,td-main-reconciliation-0005,reconciliation,False,False,final_answer,True,pass,,502,32,0.0004965
td-main-record_preparation-0037-d1-t1,td-main-record_preparation-0037,record_preparation,True,True,agent_failure,False,fail,REQUEST_BUDGET_EXHAUSTED,4249,148,0.00374175
